time,country,value,value_var,value_100,date
2015M01,EU,0.1786,0.0,100.0,2015-01-01
2015M02,EU,0.1778,-0.45,99.55,2015-02-01
2015M03,EU,0.1769,-0.51,99.04,2015-03-01
2015M04,EU,0.1761,-0.45,98.59,2015-04-01
2015M05,EU,0.1753,-0.45,98.15,2015-05-01
2015M06,EU,0.1744,-0.51,97.65,2015-06-01
2015M01,Belgium,0.1706,0.0,100.0,2015-01-01
2015M02,Belgium,0.1715,0.53,100.53,2015-02-01
2015M03,Belgium,0.1724,0.52,101.05,2015-03-01
2015M04,Belgium,0.1733,0.52,101.58,2015-04-01
2015M05,Belgium,0.1741,0.46,102.05,2015-05-01
2015M06,Belgium,0.175,0.52,102.58,2015-06-01
2015M01,Bulgaria,0.1075,0.0,100.0,2015-01-01
2015M02,Bulgaria,0.1102,2.51,102.51,2015-02-01
2015M03,Bulgaria,0.113,2.54,105.11,2015-03-01
2015M04,Bulgaria,0.1157,2.39,107.62,2015-04-01
2015M05,Bulgaria,0.1184,2.33,110.13,2015-05-01
2015M06,Bulgaria,0.1212,2.36,112.73,2015-06-01
2015M01,Czechia,0.1459,0.0,100.0,2015-01-01
2015M02,Czechia,0.1463,0.27,100.27,2015-02-01
2015M03,Czechia,0.1466,0.21,100.48,2015-03-01
2015M04,Czechia,0.147,0.27,100.75,2015-04-01
2015M05,Czechia,0.1474,0.27,101.02,2015-05-01
2015M06,Czechia,0.1477,0.2,101.22,2015-06-01
2015M01,Denmark,0.2674,0.0,100.0,2015-01-01
2015M02,Denmark,0.2674,0.0,100.0,2015-02-01
2015M03,Denmark,0.2673,-0.04,99.96,2015-03-01
2015M04,Denmark,0.2673,0.0,99.96,2015-04-01
2015M05,Denmark,0.2673,0.0,99.96,2015-05-01
2015M06,Denmark,0.2672,-0.04,99.92,2015-06-01
2015M01,Germany,0.2276,0.0,100.0,2015-01-01
2015M02,Germany,0.2268,-0.35,99.65,2015-02-01
2015M03,Germany,0.2259,-0.4,99.25,2015-03-01
2015M04,Germany,0.2251,-0.35,98.9,2015-04-01
2015M05,Germany,0.2243,-0.36,98.54,2015-05-01
2015M06,Germany,0.2234,-0.4,98.15,2015-06-01
2015M01,Estonia,0.1141,0.0,100.0,2015-01-01
2015M02,Estonia,0.1147,0.53,100.53,2015-02-01
2015M03,Estonia,0.1153,0.52,101.05,2015-03-01
2015M04,Estonia,0.116,0.61,101.67,2015-04-01
2015M05,Estonia,0.1166,0.52,102.2,2015-05-01
2015M06,Estonia,0.1172,0.51,102.72,2015-06-01
2015M01,Ireland,0.186,0.0,100.0,2015-01-01
2015M02,Ireland,0.186,0.0,100.0,2015-02-01
2015M03,Ireland,0.1861,0.05,100.05,2015-03-01
2015M04,Ireland,0.1861,0.0,100.05,2015-04-01
2015M05,Ireland,0.1861,0.0,100.05,2015-05-01
2015M06,Ireland,0.1862,0.05,100.1,2015-06-01
2015M01,Greece,0.1933,0.0,100.0,2015-01-01
2015M02,Greece,0.1962,1.5,101.5,2015-02-01
2015M03,Greece,0.199,1.43,102.95,2015-03-01
2015M04,Greece,0.2019,1.46,104.45,2015-04-01
2015M05,Greece,0.2048,1.44,105.95,2015-05-01
2015M06,Greece,0.2076,1.37,107.4,2015-06-01
2015M01,Spain,0.1912,0.0,100.0,2015-01-01
2015M02,Spain,0.1898,-0.73,99.27,2015-02-01
2015M03,Spain,0.1884,-0.74,98.54,2015-03-01
2015M04,Spain,0.187,-0.74,97.81,2015-04-01
2015M05,Spain,0.1856,-0.75,97.08,2015-05-01
2015M06,Spain,0.1842,-0.75,96.35,2015-06-01
2015M01,France,0.1477,0.0,100.0,2015-01-01
