time,country,crude_oil_100,natural_gas_100,coal_100,elec_100,steel_100,copper_100,aluminum_100
2015M01,EU,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2015M01,Belgium,100.0,100.0,100.0,99.55,100.0,100.0,100.0
2015M01,Bulgaria,100.0,100.0,100.0,99.04,100.0,100.0,100.0
2015M01,Czechia,100.0,100.0,100.0,98.59,100.0,100.0,100.0
2015M01,Denmark,100.0,100.0,100.0,98.15,100.0,100.0,100.0
2015M01,Germany,100.0,100.0,100.0,97.65,100.0,100.0,100.0
2015M01,Estonia,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2015M01,Ireland,100.0,100.0,100.0,100.53,100.0,100.0,100.0
2015M01,Greece,100.0,100.0,100.0,101.05,100.0,100.0,100.0
2015M01,Spain,100.0,100.0,100.0,101.58,100.0,100.0,100.0
2015M01,France,100.0,100.0,100.0,102.05,100.0,100.0,100.0
2015M01,Croatia,100.0,100.0,100.0,102.58,100.0,100.0,100.0
2015M01,Italy,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2015M01,Cyprus,100.0,100.0,100.0,102.51,100.0,100.0,100.0
2015M01,Latvia,100.0,100.0,100.0,105.11,100.0,100.0,100.0
2015M01,Lithuania,100.0,100.0,100.0,107.62,100.0,100.0,100.0
2015M01,Luxembourg,100.0,100.0,100.0,110.13,100.0,100.0,100.0
2015M01,Hungary,100.0,100.0,100.0,112.73,100.0,100.0,100.0
2015M01,Malta,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2015M01,Netherlands,100.0,100.0,100.0,100.27,100.0,100.0,100.0
2015M01,Austria,100.0,100.0,100.0,100.48,100.0,100.0,100.0
2015M01,Poland,100.0,100.0,100.0,100.75,100.0,100.0,100.0
2015M01,Portugal,100.0,100.0,100.0,101.02,100.0,100.0,100.0
2015M01,Romania,100.0,100.0,100.0,101.22,100.0,100.0,100.0
2015M01,Slovenia,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2015M01,Slovakia,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2015M01,Finland,100.0,100.0,100.0,99.96,100.0,100.0,100.0
2015M01,Sweden,100.0,100.0,100.0,99.96,100.0,100.0,100.0
2015M02,EU,88.52,94.41,113.77,99.96,100.91,88.32,105.95
2015M02,Belgium,88.52,94.41,113.77,99.92,100.91,88.32,105.95
2015M02,Bulgaria,88.52,94.41,113.77,100.0,100.91,88.32,105.95
2015M02,Czechia,88.52,94.41,113.77,99.65,100.91,88.32,105.95
2015M02,Denmark,88.52,94.41,113.77,99.25,100.91,88.32,105.95
2015M02,Germany,88.52,94.41,113.77,98.9,100.91,88.32,105.95
2015M02,Estonia,88.52,94.41,113.77,98.54,100.91,88.32,105.95
2015M02,Ireland,88.52,94.41,113.77,98.15,100.91,88.32,105.95
2015M02,Greece,88.52,94.41,113.77,100.0,100.91,88.32,105.95
2015M02,Spain,88.52,94.41,113.77,100.53,100.91,88.32,105.95
2015M02,France,88.52,94.41,113.77,101.05,100.91,88.32,105.95
2015M02,Croatia,88.52,94.41,113.77,101.67,100.91,88.32,105.95
2015M02,Italy,88.52,94.41,113.77,102.2,100.91,88.32,105.95
2015M02,Cyprus,88.52,94.41,113.77,102.72,100.91,88.32,105.95
2015M02,Latvia,88.52,94.41,113.77,100.0,100.91,88.32,105.95
2015M02,Lithuania,88.52,94.41,113.77,100.0,100.91,88.32,105.95
2015M02,Luxembourg,88.52,94.41,113.77,100.05,100.91,88.32,105.95
2015M02,Hungary,88.52,94.41,113.77,100.05,100.91,88.32,105.95
2015M02,Malta,88.52,94.41,113.77,100.05,100.91,88.32,105.95
