time,country,type,value,date
2021M01,EU,Total,258783.609,2021-01-01
2021M01,EU,Combustible fuels,2851.936,2021-01-01
2021M01,EU,Coal,39366.991,2021-01-01
2021M01,EU,Natural gas,40148.992,2021-01-01
2021M01,EU,Nuclear,67819.636,2021-01-01
2021M01,Belgium,Total,8431.731,2021-01-01
2021M01,Belgium,Combustible fuels,87.051,2021-01-01
2021M01,Belgium,Coal,95.473,2021-01-01
2021M01,Belgium,Natural gas,2548.445,2021-01-01
2021M01,Belgium,Nuclear,3873.052,2021-01-01
2021M01,Bulgaria,Total,3804.868,2021-01-01
2021M01,Bulgaria,Combustible fuels,0.0,2021-01-01
2021M01,Bulgaria,Coal,1065.492,2021-01-01
2021M01,Bulgaria,Natural gas,331.268,2021-01-01
2021M01,Bulgaria,Nuclear,1457.399,2021-01-01
2021M01,Czechia,Total,7729.245,2021-01-01
2021M01,Czechia,Combustible fuels,8.129,2021-01-01
2021M01,Czechia,Coal,3477.501,2021-01-01
2021M01,Czechia,Natural gas,800.31,2021-01-01
2021M01,Czechia,Nuclear,2596.919,2021-01-01
2021M01,Denmark,Total,3259.141,2021-01-01
2021M01,Denmark,Combustible fuels,79.616,2021-01-01
2021M01,Denmark,Coal,880.016,2021-01-01
2021M01,Denmark,Natural gas,282.242,2021-01-01
2021M01,Denmark,Nuclear,0.0,2021-01-01
2021M01,Germany,Total,48096.675,2021-01-01
2021M01,Germany,Combustible fuels,1298.789,2021-01-01
2021M01,Germany,Coal,16151.663,2021-01-01
2021M01,Germany,Natural gas,8820.575,2021-01-01
2021M01,Germany,Nuclear,5925.936,2021-01-01
2021M01,Estonia,Total,578.564,2021-01-01
2021M01,Estonia,Combustible fuels,420.0,2021-01-01
2021M01,Estonia,Coal,0.0,2021-01-01
2021M01,Estonia,Natural gas,0.0,2021-01-01
2021M01,Estonia,Nuclear,0.0,2021-01-01
2021M01,Ireland,Total,2861.821,2021-01-01
2021M01,Ireland,Combustible fuels,85.71,2021-01-01
2021M01,Ireland,Coal,273.395,2021-01-01
2021M01,Ireland,Natural gas,1317.913,2021-01-01
2021M01,Ireland,Nuclear,0.0,2021-01-01
2021M01,Greece,Total,4939.066,2021-01-01
2021M01,Greece,Combustible fuels,0.19,2021-01-01
2021M01,Greece,Coal,582.289,2021-01-01
2021M01,Greece,Natural gas,1704.146,2021-01-01
2021M01,Greece,Nuclear,0.0,2021-01-01
2021M01,Spain,Total,24301.478,2021-01-01
2021M01,Spain,Combustible fuels,182.932,2021-01-01
2021M01,Spain,Coal,557.915,2021-01-01
2021M01,Spain,Natural gas,4612.988,2021-01-01
2021M01,Spain,Nuclear,5199.741,2021-01-01
2021M01,France,Total,56232.714,2021-01-01
2021M01,France,Combustible fuels,0.0,2021-01-01
2021M01,France,Coal,1486.372,2021-01-01
2021M01,France,Natural gas,5103.153,2021-01-01
2021M01,France,Nuclear,37176.882,2021-01-01
2021M01,Croatia,Total,1785.782,2021-01-01
2021M01,Croatia,Combustible fuels,0.0,2021-01-01
2021M01,Croatia,Coal,119.742,2021-01-01
2021M01,Croatia,Natural gas,322.961,2021-01-01
2021M01,Croatia,Nuclear,0.0,2021-01-01
2021M01,Italy,Total,23904.0,2021-01-01
2021M01,Italy,Combustible fuels,0.0,2021-01-01
2021M01,Italy,Coal,0.0,2021-01-01
2021M01,Italy,Natural gas,0.0,2021-01-01
2021M01,Italy,Nuclear,0.0,2021-01-01
2021M01,Cyprus,Total,390.298,2021-01-01
2021M01,Cyprus,Combustible fuels,0.0,2021-01-01
2021M01,Cyprus,Coal,0.0,2021-01-01
2021M01,Cyprus,Natural gas,0.0,2021-01-01
2021M01,Cyprus,Nuclear,0.0,2021-01-01
2021M01,Latvia,Total,606.0,2021-01-01
2021M01,Latvia,Combustible fuels,0.0,2021-01-01
2021M01,Latvia,Coal,0.0,2021-01-01
2021M01,Latvia,Natural gas,327.0,2021-01-01
2021M01,Latvia,Nuclear,0.0,2021-01-01
2021M01,Lithuania,Total,364.079,2021-01-01
2021M01,Lithuania,Combustible fuels,5.349,2021-01-01
2021M01,Lithuania,Coal,0.0,2021-01-01
2021M01,Lithuania,Natural gas,106.944,2021-01-01
2021M01,Lithuania,Nuclear,0.0,2021-01-01
2021M01,Luxembourg,Total,193.4,2021-01-01
2021M01,Luxembourg,Combustible fuels,4.072,2021-01-01
2021M01,Luxembourg,Coal,0.0,2021-01-01
2021M01,Luxembourg,Natural gas,23.464,2021-01-01
2021M01,Luxembourg,Nuclear,0.0,2021-01-01
2021M01,Hungary,Total,3016.221,2021-01-01
2021M01,Hungary,Combustible fuels,26.232,2021-01-01
2021M01,Hungary,Coal,214.468,2021-01-01
2021M01,Hungary,Natural gas,1007.502,2021-01-01
2021M01,Hungary,Nuclear,1442.948,2021-01-01
2021M01,Malta,Total,140.932,2021-01-01
2021M01,Malta,Combustible fuels,0.0,2021-01-01
