time,country,sector,value_var,value_100
2015M01,EU,general,-0.7,99.7
2015M01,EU,intermediate goods,-0.3,100.0
2015M01,EU,energy,-4.3,99.5
2015M01,EU,capital goods,0.7,99.6
2015M01,EU,durable consumer goods,0.3,99.6
2015M01,EU,non-durable consumer goods,0.2,99.5
2015M01,Belgium,general,-2.0,98.4
2015M01,Belgium,intermediate goods,-1.4,99.1
2015M01,Belgium,energy,-8.0,94.7
2015M01,Belgium,capital goods,0.5,100.2
2015M01,Belgium,durable consumer goods,0.2,99.3
2015M01,Belgium,non-durable consumer goods,1.9,101.3
2015M01,Bulgaria,general,-1.3,99.2
2015M01,Bulgaria,intermediate goods,-0.7,99.7
2015M01,Bulgaria,energy,-3.4,98.6
2015M01,Bulgaria,capital goods,0.5,99.2
2015M01,Bulgaria,durable consumer goods,0.4,99.5
2015M01,Bulgaria,non-durable consumer goods,0.1,99.2
2015M01,Czechia,general,-0.4,100.9
2015M01,Czechia,intermediate goods,-0.6,101.5
2015M01,Czechia,energy,-3.8,98.9
2015M01,Czechia,capital goods,0.9,101.2
2015M01,Czechia,durable consumer goods,0.6,101.4
2015M01,Czechia,non-durable consumer goods,0.0,100.8
2015M01,Denmark,general,-0.6,99.5
2015M01,Denmark,intermediate goods,0.0,99.4
2015M01,Denmark,energy,-5.6,102.0
2015M01,Denmark,capital goods,0.2,99.5
2015M01,Denmark,durable consumer goods,0.3,99.0
2015M01,Denmark,non-durable consumer goods,0.9,98.1
2015M01,Germany,general,-0.1,99.8
2015M01,Germany,intermediate goods,-0.1,100.0
2015M01,Germany,energy,-2.3,100.7
2015M01,Germany,capital goods,0.7,99.4
2015M01,Germany,durable consumer goods,0.5,99.4
2015M01,Germany,non-durable consumer goods,0.2,99.6
2015M01,Estonia,general,-0.3,100.5
2015M01,Estonia,intermediate goods,0.7,100.9
2015M01,Estonia,energy,-2.6,98.8
2015M01,Estonia,capital goods,0.0,100.2
2015M01,Estonia,durable consumer goods,-0.3,100.5
2015M01,Estonia,non-durable consumer goods,-0.3,101.8
2015M01,Ireland,general,1.0,97.1
2015M01,Ireland,intermediate goods,-0.3,100.0
2015M01,Ireland,energy,-4.3,99.5
2015M01,Ireland,capital goods,0.7,99.6
2015M01,Ireland,durable consumer goods,0.3,99.6
2015M01,Ireland,non-durable consumer goods,0.2,99.5
2015M01,Greece,general,-3.7,98.2
2015M01,Greece,intermediate goods,0.4,100.1
2015M01,Greece,energy,-9.0,96.0
2015M01,Greece,capital goods,-0.1,99.9
2015M01,Greece,durable consumer goods,-0.3,99.8
2015M01,Greece,non-durable consumer goods,-1.1,99.3
2015M01,Spain,general,-0.4,99.5
