time,steel_price,coal_price,steel_var,coal_var,steel_100,coal_100
2015M01,2188,62.45,0.0,0.0,100.0,100.0
2015M02,2208,71.05,0.91,13.77,100.91,113.77
2015M03,2287,56.8,3.58,-20.06,104.52,90.95
2015M04,2206,62.05,-3.54,9.24,100.82,99.35
2015M05,2055,60.05,-6.84,-3.22,93.92,96.15
2015M06,1877,60.8,-8.66,1.25,85.79,97.35
2015M07,2043,60.3,8.84,-0.82,93.37,96.55
2015M08,1935,58.4,-5.29,-3.15,88.43,93.51
2015M09,1796,53.85,-7.18,-7.79,82.08,86.23
2015M10,1764,53.05,-1.78,-1.49,80.62,84.95
2015M11,1687,53.55,-4.37,0.94,77.1,85.75
2015M12,1841,50.6,9.13,-5.51,84.14,81.03
2016M01,1783,48.8,-3.15,-3.56,81.49,78.15
2016M02,1831,50.5,2.69,3.48,83.68,80.87
2016M03,2275,51.1,24.25,1.19,103.97,81.83
2016M04,2727,50.75,19.87,-0.68,124.63,81.27
2016M05,1931,53.5,-29.19,5.42,88.25,85.67
2016M06,2208,56.8,14.34,6.17,100.91,90.96
2016M07,2343,61.15,6.11,7.66,107.08,97.93
2016M08,2378,68.75,1.49,12.43,108.68,110.1
2016M09,2168,72.2,-8.83,5.02,99.08,115.63
2016M10,2415,108.6,11.39,50.42,110.37,173.93
2016M11,3044,87.45,26.05,-19.48,139.12,140.05
2016M12,2954,88.4,-2.96,1.09,135.0,141.58
2017M01,3307,83.0,11.95,-6.11,151.13,132.93
2017M02,3871,83.45,17.05,0.54,176.9,133.65
2017M03,3774,80.75,-2.51,-3.24,172.46,129.32
2017M04,3375,83.55,-10.57,3.47,154.23,133.81
2017M05,3865,73.45,14.52,-12.09,176.62,117.63
2017M06,3692,81.0,-4.48,10.28,168.71,129.72
2017M07,3992,93.2,8.13,15.06,182.43,149.26
2017M08,4151,95.3,3.98,2.25,189.69,152.62
2017M09,3913,97.25,-5.73,2.05,178.82,155.75
2017M10,3682,99.9,-5.9,2.72,168.27,159.99
2017M11,4370,96.8,18.69,-3.1,199.72,155.03
2017M12,4215,100.8,-3.55,4.13,192.63,161.43
2018M01,3866,104.35,-8.28,3.52,176.68,167.11
2018M02,4135,105.1,6.96,0.72,188.98,168.31
2018M03,3530,96.4,-14.63,-8.28,161.33,154.37
2018M04,3938,99.4,11.56,3.11,179.98,159.17
2018M05,4130,110.15,4.88,10.81,188.76,176.38
2018M06,4184,114.4,1.31,3.86,191.23,183.19
2018M07,4157,119.9,-0.65,4.81,189.99,192.0
2018M08,4579,118.0,10.15,-1.58,209.27,188.97
2018M09,4527,113.85,-1.14,-3.52,206.88,182.32
2018M10,4612,105.2,1.88,-7.6,210.77,168.46
2018M11,3512,101.7,-23.85,-3.33,160.5,162.85
2018M12,3870,102.05,10.19,0.34,176.85,163.4
2019M01,3821,99.0,-1.27,-2.99,174.6,158.51
2019M02,3797,96.05,-0.63,-2.98,173.5,153.79
2019M03,3732,92.75,-1.71,-3.44,170.53,148.5
2019M04,4192,85.2,12.33,-8.14,191.56,136.41
2019M05,3834,83.4,-8.54,-2.11,175.2,133.53
2019M06,3780,70.9,-1.41,-14.99,172.73,113.51
2019M07,4064,69.95,7.51,-1.34,185.7,111.99
2019M08,3625,65.75,-10.8,-6.0,165.64,105.27
2019M09,3691,65.55,1.82,-0.3,168.65,104.95
2019M10,3494,66.95,-5.34,2.14,159.64,107.2
2019M11,3938,67.85,12.71,1.34,179.93,108.64
2019M12,3796,67.7,-3.61,-0.22,173.43,108.4
2020M01,3626,68.5,-4.48,1.18,165.66,109.68
2020M02,3390,67.4,-6.51,-1.61,154.88,107.91
2020M03,3431,67.85,1.21,0.67,156.75,108.63
2020M04,3506,51.25,2.19,-24.47,160.18,82.05
2020M05,3504,52.0,-0.06,1.46,160.08,83.25
2020M06,3699,52.15,5.57,0.29,169.0,83.49
2020M07,3802,51.95,2.78,-0.38,173.7,83.17
2020M08,3773,49.8,-0.76,-4.14,172.38,79.73
2020M09,3613,58.65,-4.24,17.77,165.07,93.9
2020M10,3748,58.2,3.74,-0.77,171.24,93.18
2020M11,4194,63.9,11.9,9.79,191.62,102.3
2020M12,4220,80.5,0.62,25.98,192.81,128.88
2021M01,4191,86.2,-0.69,7.08,191.48,138.0
2021M02,4587,85.1,9.45,-1.28,209.57,136.23
2021M03,4832,96.25,5.34,13.1,220.76,154.08
2021M04,5362,93.3,10.97,-3.06,244.98,149.37
2021M05,4842,118.9,-9.7,27.44,221.22,190.36
2021M06,4893,128.55,1.05,8.12,223.54,205.82
2021M07,5705,149.75,16.6,16.49,260.65,239.76
2021M08,5233,172.0,-8.27,14.86,239.09,275.39
2021M09,5835,218.0,11.5,26.74,266.59,349.03
2021M10,4806,223.45,-17.63,2.5,219.59,357.76
2021M11,4176,152.0,-13.11,-31.98,190.8,243.35
2021M12,4548,169.6,8.91,11.58,207.8,271.53
