"TIME","GEO","UNIT","COICOP","Value","Flag and Footnotes"
"2015M01","European Union - 27 countries (from 2020)","Index, 2015=100","All-items HICP","98.46",""
"2015M01","Belgium","Index, 2015=100","All-items HICP","97.20",""
"2015M01","Bulgaria","Index, 2015=100","All-items HICP","99.80",""
"2015M01","Czechia","Index, 2015=100","All-items HICP","99.5",""
"2015M01","Denmark","Index, 2015=100","All-items HICP","98.9",""
"2015M01","Germany (until 1990 former territory of the FRG)","Index, 2015=100","All-items HICP","98.1",""
"2015M01","Estonia","Index, 2015=100","All-items HICP","98.78",""
"2015M01","Ireland","Index, 2015=100","All-items HICP","98.7",""
"2015M01","Greece","Index, 2015=100","All-items HICP","98.42",""
"2015M01","Spain","Index, 2015=100","All-items HICP","98.04",""
"2015M01","France","Index, 2015=100","All-items HICP","98.70",""
"2015M01","Croatia","Index, 2015=100","All-items HICP","98.77",""
"2015M01","Italy","Index, 2015=100","All-items HICP","98.0",""
"2015M01","Cyprus","Index, 2015=100","All-items HICP","98.31",""
"2015M01","Latvia","Index, 2015=100","All-items HICP","98.94",""
"2015M01","Lithuania","Index, 2015=100","All-items HICP","98.96",""
"2015M01","Luxembourg","Index, 2015=100","All-items HICP","97.69",""
"2015M01","Hungary","Index, 2015=100","All-items HICP","98.56",""
"2015M01","Malta","Index, 2015=100","All-items HICP","96.29",""
"2015M01","Netherlands","Index, 2015=100","All-items HICP","97.82",""
"2015M01","Austria","Index, 2015=100","All-items HICP","98.48",""
"2015M01","Poland","Index, 2015=100","All-items HICP","99.7",""
"2015M01","Portugal","Index, 2015=100","All-items HICP","98.09",""
"2015M01","Romania","Index, 2015=100","All-items HICP","100.46",""
"2015M01","Slovenia","Index, 2015=100","All-items HICP","99.08",""
"2015M01","Slovakia","Index, 2015=100","All-items HICP","99.87",""
"2015M01","Finland","Index, 2015=100","All-items HICP","99.49",""
"2015M01","Sweden","Index, 2015=100","All-items HICP","98.71",""
"2015M02","European Union - 27 countries (from 2020)","Index, 2015=100","All-items HICP","99.00",""
"2015M02","Belgium","Index, 2015=100","All-items HICP","99.56",""
"2015M02","Bulgaria","Index, 2015=100","All-items HICP","99.86",""
"2015M02","Czechia","Index, 2015=100","All-items HICP","99.6",""
"2015M02","Denmark","Index, 2015=100","All-items HICP","99.7",""
"2015M02","Germany (until 1990 former territory of the FRG)","Index, 2015=100","All-items HICP","99.0",""
"2015M02","Estonia","Index, 2015=100","All-items HICP","99.30",""
"2015M02","Ireland","Index, 2015=100","All-items HICP","99.3",""
"2015M02","Greece","Index, 2015=100","All-items HICP","98.21",""
"2015M02","Spain","Index, 2015=100","All-items HICP","98.18",""
"2015M02","France","Index, 2015=100","All-items HICP","99.42",""
"2015M02","Croatia","Index, 2015=100","All-items HICP","98.88",""
"2015M02","Italy","Index, 2015=100","All-items HICP","98.2",""
"2015M02","Cyprus","Index, 2015=100","All-items HICP","98.83",""
"2015M02","Latvia","Index, 2015=100","All-items HICP","99.30",""
"2015M02","Lithuania","Index, 2015=100","All-items HICP","98.82",""
"2015M02","Luxembourg","Index, 2015=100","All-items HICP","99.68",""
"2015M02","Hungary","Index, 2015=100","All-items HICP","99.06",""
"2015M02","Malta","Index, 2015=100","All-items HICP","96.75",""
"2015M02","Netherlands","Index, 2015=100","All-items HICP","98.62",""
"2015M02","Austria","Index, 2015=100","All-items HICP","98.75",""
"2015M02","Poland","Index, 2015=100","All-items HICP","99.6",""
"2015M02","Portugal","Index, 2015=100","All-items HICP","98.11",""
"2015M02","Romania","Index, 2015=100","All-items HICP","100.84",""
"2015M02","Slovenia","Index, 2015=100","All-items HICP","99.24",""
"2015M02","Slovakia","Index, 2015=100","All-items HICP","99.68",""
"2015M02","Finland","Index, 2015=100","All-items HICP","99.83",""
"2015M02","Sweden","Index, 2015=100","All-items HICP","99.54",""
"2015M03","European Union - 27 countries (from 2020)","Index, 2015=100","All-items HICP","100.01",""
"2015M03","Belgium","Index, 2015=100","All-items HICP","99.82",""
"2015M03","Bulgaria","Index, 2015=100","All-items HICP","100.19",""
"2015M03","Czechia","Index, 2015=100","All-items HICP","99.8",""
"2015M03","Denmark","Index, 2015=100","All-items HICP","100.2",""
"2015M03","Germany (until 1990 former territory of the FRG)","Index, 2015=100","All-items HICP","99.7",""
"2015M03","Estonia","Index, 2015=100","All-items HICP","99.95",""
"2015M03","Ireland","Index, 2015=100","All-items HICP","100.0",""
"2015M03","Greece","Index, 2015=100","All-items HICP","100.07",""
"2015M03","Spain","Index, 2015=100","All-items HICP","100.15",""
"2015M03","France","Index, 2015=100","All-items HICP","100.17",""
"2015M03","Croatia","Index, 2015=100","All-items HICP","99.72",""
"2015M03","Italy","Index, 2015=100","All-items HICP","100.3",""
"2015M03","Cyprus","Index, 2015=100","All-items HICP","99.51",""
"2015M03","Latvia","Index, 2015=100","All-items HICP","100.09",""
"2015M03","Lithuania","Index, 2015=100","All-items HICP","99.63",""
"2015M03","Luxembourg","Index, 2015=100","All-items HICP","100.11",""
"2015M03","Hungary","Index, 2015=100","All-items HICP","99.70",""
"2015M03","Malta","Index, 2015=100","All-items HICP","97.64",""
"2015M03","Netherlands","Index, 2015=100","All-items HICP","99.88",""
"2015M03","Austria","Index, 2015=100","All-items HICP","100.15",""
"2015M03","Poland","Index, 2015=100","All-items HICP","99.9",""
"2015M03","Portugal","Index, 2015=100","All-items HICP","100.01",""
"2015M03","Romania","Index, 2015=100","All-items HICP","101.30",""
"2015M03","Slovenia","Index, 2015=100","All-items HICP","100.10",""
"2015M03","Slovakia","Index, 2015=100","All-items HICP","99.87",""
"2015M03","Finland","Index, 2015=100","All-items HICP","100.20",""
"2015M03","Sweden","Index, 2015=100","All-items HICP","99.66",""
"2015M04","European Union - 27 countries (from 2020)","Index, 2015=100","All-items HICP","100.42",""
"2015M04","Belgium","Index, 2015=100","All-items HICP","100.11",""
"2015M04","Bulgaria","Index, 2015=100","All-items HICP","100.66",""
"2015M04","Czechia","Index, 2015=100","All-items HICP","100.2",""
"2015M04","Denmark","Index, 2015=100","All-items HICP","100.4",""
"2015M04","Germany (until 1990 former territory of the FRG)","Index, 2015=100","All-items HICP","100.2",""
"2015M04","Estonia","Index, 2015=100","All-items HICP","100.53",""
"2015M04","Ireland","Index, 2015=100","All-items HICP","99.9",""
"2015M04","Greece","Index, 2015=100","All-items HICP","100.50",""
