"TIME","GEO","UNIT","COICOP","Value","Flag and Footnotes"
"2015M01","European Union - 27 countries (from 2020)","Monthly rate of change","All-items HICP","-1.3",""
"2015M01","Belgium","Monthly rate of change","All-items HICP","-2.1",""
"2015M01","Bulgaria","Monthly rate of change","All-items HICP","-0.7",""
"2015M01","Czechia","Monthly rate of change","All-items HICP","0.0",""
"2015M01","Denmark","Monthly rate of change","All-items HICP","-0.6",""
"2015M01","Germany (until 1990 former territory of the FRG)","Monthly rate of change","All-items HICP","-1.3",""
"2015M01","Estonia","Monthly rate of change","All-items HICP","-0.4",""
"2015M01","Ireland","Monthly rate of change","All-items HICP","-0.7",""
"2015M01","Greece","Monthly rate of change","All-items HICP","-1.2",""
"2015M01","Spain","Monthly rate of change","All-items HICP","-2.2",""
"2015M01","France","Monthly rate of change","All-items HICP","-1.1",""
"2015M01","Croatia","Monthly rate of change","All-items HICP","-0.5",""
"2015M01","Italy","Monthly rate of change","All-items HICP","-2.5",""
"2015M01","Cyprus","Monthly rate of change","All-items HICP","-0.9",""
"2015M01","Latvia","Monthly rate of change","All-items HICP","0.1",""
"2015M01","Lithuania","Monthly rate of change","All-items HICP","-1.3",""
"2015M01","Luxembourg","Monthly rate of change","All-items HICP","-1.1",""
"2015M01","Hungary","Monthly rate of change","All-items HICP","-0.2",""
"2015M01","Malta","Monthly rate of change","All-items HICP","-1.1",""
"2015M01","Netherlands","Monthly rate of change","All-items HICP","-1.2",""
"2015M01","Austria","Monthly rate of change","All-items HICP","-1.4",""
"2015M01","Poland","Monthly rate of change","All-items HICP","-0.3",""
"2015M01","Portugal","Monthly rate of change","All-items HICP","-1.5",""
"2015M01","Romania","Monthly rate of change","All-items HICP","0.3",""
"2015M01","Slovenia","Monthly rate of change","All-items HICP","-1.2",""
"2015M01","Slovakia","Monthly rate of change","All-items HICP","-0.1",""
"2015M01","Finland","Monthly rate of change","All-items HICP","-0.7",""
"2015M01","Sweden","Monthly rate of change","All-items HICP","-1.1",""
"2015M02","European Union - 27 countries (from 2020)","Monthly rate of change","All-items HICP","0.5",""
"2015M02","Belgium","Monthly rate of change","All-items HICP","2.4",""
"2015M02","Bulgaria","Monthly rate of change","All-items HICP","0.1",""
"2015M02","Czechia","Monthly rate of change","All-items HICP","0.1",""
"2015M02","Denmark","Monthly rate of change","All-items HICP","0.8",""
"2015M02","Germany (until 1990 former territory of the FRG)","Monthly rate of change","All-items HICP","0.9",""
"2015M02","Estonia","Monthly rate of change","All-items HICP","0.5",""
"2015M02","Ireland","Monthly rate of change","All-items HICP","0.6",""
"2015M02","Greece","Monthly rate of change","All-items HICP","-0.2",""
"2015M02","Spain","Monthly rate of change","All-items HICP","0.1",""
"2015M02","France","Monthly rate of change","All-items HICP","0.7",""
"2015M02","Croatia","Monthly rate of change","All-items HICP","0.1",""
"2015M02","Italy","Monthly rate of change","All-items HICP","0.2",""
"2015M02","Cyprus","Monthly rate of change","All-items HICP","0.5",""
"2015M02","Latvia","Monthly rate of change","All-items HICP","0.4",""
"2015M02","Lithuania","Monthly rate of change","All-items HICP","-0.1",""
"2015M02","Luxembourg","Monthly rate of change","All-items HICP","2.0",""
"2015M02","Hungary","Monthly rate of change","All-items HICP","0.5",""
"2015M02","Malta","Monthly rate of change","All-items HICP","0.5",""
"2015M02","Netherlands","Monthly rate of change","All-items HICP","0.8",""
"2015M02","Austria","Monthly rate of change","All-items HICP","0.3",""
"2015M02","Poland","Monthly rate of change","All-items HICP","-0.1",""
"2015M02","Portugal","Monthly rate of change","All-items HICP","0.0",""
"2015M02","Romania","Monthly rate of change","All-items HICP","0.4",""
"2015M02","Slovenia","Monthly rate of change","All-items HICP","0.2",""
"2015M02","Slovakia","Monthly rate of change","All-items HICP","-0.2",""
"2015M02","Finland","Monthly rate of change","All-items HICP","0.3",""
"2015M02","Sweden","Monthly rate of change","All-items HICP","0.8",""
"2015M03","European Union - 27 countries (from 2020)","Monthly rate of change","All-items HICP","1.0",""
"2015M03","Belgium","Monthly rate of change","All-items HICP","0.3",""
"2015M03","Bulgaria","Monthly rate of change","All-items HICP","0.3",""
"2015M03","Czechia","Monthly rate of change","All-items HICP","0.2",""
"2015M03","Denmark","Monthly rate of change","All-items HICP","0.5",""
"2015M03","Germany (until 1990 former territory of the FRG)","Monthly rate of change","All-items HICP","0.7",""
"2015M03","Estonia","Monthly rate of change","All-items HICP","0.7",""
"2015M03","Ireland","Monthly rate of change","All-items HICP","0.7",""
"2015M03","Greece","Monthly rate of change","All-items HICP","1.9",""
"2015M03","Spain","Monthly rate of change","All-items HICP","2.0",""
"2015M03","France","Monthly rate of change","All-items HICP","0.8",""
"2015M03","Croatia","Monthly rate of change","All-items HICP","0.8",""
"2015M03","Italy","Monthly rate of change","All-items HICP","2.1",""
"2015M03","Cyprus","Monthly rate of change","All-items HICP","0.7",""
"2015M03","Latvia","Monthly rate of change","All-items HICP","0.8",""
"2015M03","Lithuania","Monthly rate of change","All-items HICP","0.8",""
"2015M03","Luxembourg","Monthly rate of change","All-items HICP","0.4",""
"2015M03","Hungary","Monthly rate of change","All-items HICP","0.6",""
"2015M03","Malta","Monthly rate of change","All-items HICP","0.9",""
"2015M03","Netherlands","Monthly rate of change","All-items HICP","1.3",""
"2015M03","Austria","Monthly rate of change","All-items HICP","1.4",""
"2015M03","Poland","Monthly rate of change","All-items HICP","0.3",""
"2015M03","Portugal","Monthly rate of change","All-items HICP","1.9",""
"2015M03","Romania","Monthly rate of change","All-items HICP","0.5",""
"2015M03","Slovenia","Monthly rate of change","All-items HICP","0.9",""
"2015M03","Slovakia","Monthly rate of change","All-items HICP","0.2",""
