"TIME","GEO","P_ADJ","UNIT","S_ADJ","NACE_R2","INDIC","Value","Flag and Footnotes"
"2015Q1","European Union - 27 countries (from 2020)","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.5",""
"2015Q1","Belgium","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.1",""
"2015Q1","Bulgaria","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","2.9",""
"2015Q1","Czechia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.2",""
"2015Q1","Denmark","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.7",""
"2015Q1","Germany (until 1990 former territory of the FRG)","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.1",""
"2015Q1","Estonia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.3",""
"2015Q1","Ireland","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-1.8",""
"2015Q1","Greece","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-1.5",""
"2015Q1","Spain","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.7","p"
"2015Q1","France","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.2","p"
"2015Q1","Croatia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.3",""
"2015Q1","Italy","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.1",""
"2015Q1","Cyprus","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.3",""
"2015Q1","Latvia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","3.4",""
"2015Q1","Lithuania","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.1",""
"2015Q1","Luxembourg","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.0",""
"2015Q1","Hungary","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.1",""
"2015Q1","Malta","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","2.3","p"
"2015Q1","Netherlands","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-2.0",""
"2015Q1","Austria","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.7",""
"2015Q1","Poland","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.2",""
"2015Q1","Portugal","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","2.5",""
"2015Q1","Romania","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.7",""
"2015Q1","Slovenia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.9",""
"2015Q1","Slovakia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.2",""
"2015Q1","Finland","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","2.6","p"
"2015Q1","Sweden","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.5",""
"2015Q2","European Union - 27 countries (from 2020)","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.7",""
"2015Q2","Belgium","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.1",""
"2015Q2","Bulgaria","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.6",""
"2015Q2","Czechia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.8",""
"2015Q2","Denmark","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.8",""
"2015Q2","Germany (until 1990 former territory of the FRG)","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.1",""
"2015Q2","Estonia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","2.2",""
"2015Q2","Ireland","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.1",""
"2015Q2","Greece","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-2.4",""
"2015Q2","Spain","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.0","p"
"2015Q2","France","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.2","p"
"2015Q2","Croatia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","2.0",""
"2015Q2","Italy","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.1",""
"2015Q2","Cyprus","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.8",""
"2015Q2","Latvia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.3",""
"2015Q2","Lithuania","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.9",""
"2015Q2","Luxembourg","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.5",""
"2015Q2","Hungary","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.7",""
"2015Q2","Malta","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.5","p"
"2015Q2","Netherlands","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.4",""
"2015Q2","Austria","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.5",""
"2015Q2","Poland","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-1.2",""
"2015Q2","Portugal","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.0",""
"2015Q2","Romania","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.6",""
"2015Q2","Slovenia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.8",""
"2015Q2","Slovakia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.8",""
"2015Q2","Finland","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.2","p"
"2015Q2","Sweden","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.5",""
"2015Q3","European Union - 27 countries (from 2020)","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.1",""
"2015Q3","Belgium","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.0",""
"2015Q3","Bulgaria","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.8",""
"2015Q3","Czechia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.0",""
"2015Q3","Denmark","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.4",""
"2015Q3","Germany (until 1990 former territory of the FRG)","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.2",""
"2015Q3","Estonia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.2",""
"2015Q3","Ireland","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.4",""
"2015Q3","Greece","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","6.6",""
"2015Q3","Spain","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.3","p"
"2015Q3","France","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.3","p"
"2015Q3","Croatia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.8",""
"2015Q3","Italy","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.7",""
"2015Q3","Cyprus","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-1.1",""
"2015Q3","Latvia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","2.1",""
"2015Q3","Lithuania","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.9",""
"2015Q3","Luxembourg","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-1.4",""
"2015Q3","Hungary","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.7",""
"2015Q3","Malta","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","3.0","p"
"2015Q3","Netherlands","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-1.0",""
"2015Q3","Austria","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.2",""
"2015Q3","Poland","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","2.3",""
"2015Q3","Portugal","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.7",""
"2015Q3","Romania","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","2.3",""
"2015Q3","Slovenia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.0",""
"2015Q3","Slovakia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.1",""
"2015Q3","Finland","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.7","p"
"2015Q3","Sweden","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.5",""
"2015Q4","European Union - 27 countries (from 2020)","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.5",""
"2015Q4","Belgium","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.1",""
"2015Q4","Bulgaria","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","2.6",""
"2015Q4","Czechia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.3",""
"2015Q4","Denmark","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.4",""
"2015Q4","Germany (until 1990 former territory of the FRG)","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.5",""
"2015Q4","Estonia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.6",""
"2015Q4","Ireland","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.4",""
"2015Q4","Greece","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-1.4",""
"2015Q4","Spain","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.3","p"
"2015Q4","France","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.9","p"
"2015Q4","Croatia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.4",""
"2015Q4","Italy","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.4",""
"2015Q4","Cyprus","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.6",""
"2015Q4","Latvia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","2.0",""
"2015Q4","Lithuania","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","2.1",""
"2015Q4","Luxembourg","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.7",""
"2015Q4","Hungary","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.6",""
"2015Q4","Malta","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.8","p"
"2015Q4","Netherlands","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-1.5",""
"2015Q4","Austria","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.2",""
"2015Q4","Poland","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.5",""
"2015Q4","Portugal","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.4",""
"2015Q4","Romania","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","2.4",""
"2015Q4","Slovenia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.3",""
"2015Q4","Slovakia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","2.5",""
"2015Q4","Finland","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.6","p"
