"TIME","GEO","SIEC","UNIT","Value","Flag and Footnotes"
"2017M01","European Union - 27 countries (from 2020)","Total","Gigawatt-hour","271 874.687",""
"2017M01","European Union - 27 countries (from 2020)","Combustible fuels - non-renewable","Gigawatt-hour","2 985.880",""
"2017M01","European Union - 27 countries (from 2020)","Coal and manufactured gases","Gigawatt-hour","63 552.884",""
"2017M01","European Union - 27 countries (from 2020)","Natural gas","Gigawatt-hour","41 708.607",""
"2017M01","European Union - 27 countries (from 2020)","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","72 223.997",""
"2017M01","Belgium","Total","Gigawatt-hour","7 566.330",""
"2017M01","Belgium","Combustible fuels - non-renewable","Gigawatt-hour","96.004",""
"2017M01","Belgium","Coal and manufactured gases","Gigawatt-hour","177.694",""
"2017M01","Belgium","Natural gas","Gigawatt-hour","2 536.002",""
"2017M01","Belgium","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","3 618.799",""
"2017M01","Bulgaria","Total","Gigawatt-hour","4 260.411",""
"2017M01","Bulgaria","Combustible fuels - non-renewable","Gigawatt-hour","0.000",""
"2017M01","Bulgaria","Coal and manufactured gases","Gigawatt-hour","1 999.251",""
"2017M01","Bulgaria","Natural gas","Gigawatt-hour","254.582",""
"2017M01","Bulgaria","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","1 447.545",""
"2017M01","Czechia","Total","Gigawatt-hour","8 078.928",""
"2017M01","Czechia","Combustible fuels - non-renewable","Gigawatt-hour","6.523",""
"2017M01","Czechia","Coal and manufactured gases","Gigawatt-hour","4 384.827",""
"2017M01","Czechia","Natural gas","Gigawatt-hour","492.171",""
"2017M01","Czechia","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","2 445.657",""
"2017M01","Denmark","Total","Gigawatt-hour","3 095.887",""
"2017M01","Denmark","Combustible fuels - non-renewable","Gigawatt-hour","61.488",""
"2017M01","Denmark","Coal and manufactured gases","Gigawatt-hour","948.169",""
"2017M01","Denmark","Natural gas","Gigawatt-hour","343.889",""
"2017M01","Denmark","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M01","Germany (until 1990 former territory of the FRG)","Total","Gigawatt-hour","53 509.480",""
"2017M01","Germany (until 1990 former territory of the FRG)","Combustible fuels - non-renewable","Gigawatt-hour","1 588.821","e"
"2017M01","Germany (until 1990 former territory of the FRG)","Coal and manufactured gases","Gigawatt-hour","24 630.691","e"
"2017M01","Germany (until 1990 former territory of the FRG)","Natural gas","Gigawatt-hour","9 447.693","e"
"2017M01","Germany (until 1990 former territory of the FRG)","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","5 702.864",""
"2017M01","Estonia","Total","Gigawatt-hour","1 140.000",""
"2017M01","Estonia","Combustible fuels - non-renewable","Gigawatt-hour","0.000",""
"2017M01","Estonia","Coal and manufactured gases","Gigawatt-hour","0.000",""
"2017M01","Estonia","Natural gas","Gigawatt-hour","0.000",""
"2017M01","Estonia","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M01","Ireland","Total","Gigawatt-hour","2 766.728",""
"2017M01","Ireland","Combustible fuels - non-renewable","Gigawatt-hour","239.736",""
"2017M01","Ireland","Coal and manufactured gases","Gigawatt-hour","520.336",""
"2017M01","Ireland","Natural gas","Gigawatt-hour","1 203.019",""
"2017M01","Ireland","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M01","Greece","Total","Gigawatt-hour","5 612.575",""
"2017M01","Greece","Combustible fuels - non-renewable","Gigawatt-hour","0.090",""
"2017M01","Greece","Coal and manufactured gases","Gigawatt-hour","1 708.240",""
"2017M01","Greece","Natural gas","Gigawatt-hour","2 000.670",""
"2017M01","Greece","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M01","Spain","Total","Gigawatt-hour","25 249.014",""
"2017M01","Spain","Combustible fuels - non-renewable","Gigawatt-hour","297.585",""
"2017M01","Spain","Coal and manufactured gases","Gigawatt-hour","5 387.197",""
"2017M01","Spain","Natural gas","Gigawatt-hour","5 109.424",""
"2017M01","Spain","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","5 285.374",""
"2017M01","France","Total","Gigawatt-hour","57 166.501",""
"2017M01","France","Combustible fuels - non-renewable","Gigawatt-hour",":",""
"2017M01","France","Coal and manufactured gases","Gigawatt-hour","2 426.178",""
"2017M01","France","Natural gas","Gigawatt-hour","6 043.548",""
"2017M01","France","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","40 491.575",""
"2017M01","Croatia","Total","Gigawatt-hour","1 216.105",""
"2017M01","Croatia","Combustible fuels - non-renewable","Gigawatt-hour","0.000",""
"2017M01","Croatia","Coal and manufactured gases","Gigawatt-hour","190.196",""
"2017M01","Croatia","Natural gas","Gigawatt-hour","326.906",""
"2017M01","Croatia","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M01","Italy","Total","Gigawatt-hour","27 275.000",""
"2017M01","Italy","Combustible fuels - non-renewable","Gigawatt-hour",":",""
"2017M01","Italy","Coal and manufactured gases","Gigawatt-hour",":",""
"2017M01","Italy","Natural gas","Gigawatt-hour",":",""
"2017M01","Italy","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M01","Cyprus","Total","Gigawatt-hour","426.486",""
"2017M01","Cyprus","Combustible fuels - non-renewable","Gigawatt-hour","0.000",""
"2017M01","Cyprus","Coal and manufactured gases","Gigawatt-hour","0.000",""
"2017M01","Cyprus","Natural gas","Gigawatt-hour","0.000",""
"2017M01","Cyprus","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M01","Latvia","Total","Gigawatt-hour","740.000",""
"2017M01","Latvia","Combustible fuels - non-renewable","Gigawatt-hour","0.000",""
"2017M01","Latvia","Coal and manufactured gases","Gigawatt-hour","0.000",""
"2017M01","Latvia","Natural gas","Gigawatt-hour","403.000",""
"2017M01","Latvia","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M01","Lithuania","Total","Gigawatt-hour","319.945",""
"2017M01","Lithuania","Combustible fuels - non-renewable","Gigawatt-hour","6.067","e"
"2017M01","Lithuania","Coal and manufactured gases","Gigawatt-hour","0.000",""
"2017M01","Lithuania","Natural gas","Gigawatt-hour","48.850","e"
"2017M01","Lithuania","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M01","Luxembourg","Total","Gigawatt-hour","194.041",""
"2017M01","Luxembourg","Combustible fuels - non-renewable","Gigawatt-hour","6.023",""
"2017M01","Luxembourg","Coal and manufactured gases","Gigawatt-hour","0.000",""
"2017M01","Luxembourg","Natural gas","Gigawatt-hour","29.150",""
"2017M01","Luxembourg","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M01","Hungary","Total","Gigawatt-hour","3 029.171",""
"2017M01","Hungary","Combustible fuels - non-renewable","Gigawatt-hour","17.249",""
"2017M01","Hungary","Coal and manufactured gases","Gigawatt-hour","390.398",""
"2017M01","Hungary","Natural gas","Gigawatt-hour","975.348",""
"2017M01","Hungary","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","1 407.587",""
"2017M01","Malta","Total","Gigawatt-hour","77.689",""
"2017M01","Malta","Combustible fuels - non-renewable","Gigawatt-hour","0.000",""
"2017M01","Malta","Coal and manufactured gases","Gigawatt-hour","0.000",""
"2017M01","Malta","Natural gas","Gigawatt-hour","0.000",""
"2017M01","Malta","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M01","Netherlands","Total","Gigawatt-hour","11 407.000",""
"2017M01","Netherlands","Combustible fuels - non-renewable","Gigawatt-hour","116.000","e"
"2017M01","Netherlands","Coal and manufactured gases","Gigawatt-hour","3 574.000","e"
"2017M01","Netherlands","Natural gas","Gigawatt-hour","6 050.000","e"
"2017M01","Netherlands","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","363.000","e"
"2017M01","Austria","Total","Gigawatt-hour","6 290.276",""
"2017M01","Austria","Combustible fuels - non-renewable","Gigawatt-hour","75.147",""
"2017M01","Austria","Coal and manufactured gases","Gigawatt-hour","508.458",""
"2017M01","Austria","Natural gas","Gigawatt-hour","2 143.494",""
"2017M01","Austria","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M01","Poland","Total","Gigawatt-hour","14 829.849",""
"2017M01","Poland","Combustible fuels - non-renewable","Gigawatt-hour","103.236",""
"2017M01","Poland","Coal and manufactured gases","Gigawatt-hour","12 091.658",""
"2017M01","Poland","Natural gas","Gigawatt-hour","762.312",""
"2017M01","Poland","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M01","Portugal","Total","Gigawatt-hour","5 420.041",""
"2017M01","Portugal","Combustible fuels - non-renewable","Gigawatt-hour","31.322",""
"2017M01","Portugal","Coal and manufactured gases","Gigawatt-hour","1 271.596",""
"2017M01","Portugal","Natural gas","Gigawatt-hour","1 437.726",""
