"TIME","GEO","INDIC_BT","NACE_R2","S_ADJ","UNIT","Value","Flag and Footnotes"
"2015M01","European Union - 27 countries (from 2020)","Total output price index - in national currency","Industry (except construction, sewerage, waste management and remediation activities)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2015=100","99.7",""
"2015M01","European Union - 27 countries (from 2020)","Total output price index - in national currency","MIG - intermediate goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2015=100","100.0",""
"2015M01","European Union - 27 countries (from 2020)","Total output price index - in national currency","MIG - energy","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2015=100","99.5",""
"2015M01","European Union - 27 countries (from 2020)","Total output price index - in national currency","MIG - capital goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2015=100","99.6",""
"2015M01","European Union - 27 countries (from 2020)","Total output price index - in national currency","MIG - durable consumer goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2015=100","99.6",""
"2015M01","European Union - 27 countries (from 2020)","Total output price index - in national currency","MIG - non-durable consumer goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2015=100","99.5",""
"2015M01","Belgium","Total output price index - in national currency","Industry (except construction, sewerage, waste management and remediation activities)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2015=100","98.4","p"
"2015M01","Belgium","Total output price index - in national currency","MIG - intermediate goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2015=100","99.1","p"
"2015M01","Belgium","Total output price index - in national currency","MIG - energy","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2015=100","94.7","p"
"2015M01","Belgium","Total output price index - in national currency","MIG - capital goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2015=100","100.2","p"
"2015M01","Belgium","Total output price index - in national currency","MIG - durable consumer goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2015=100","99.3","p"
"2015M01","Belgium","Total output price index - in national currency","MIG - non-durable consumer goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2015=100","101.3","p"
"2015M01","Bulgaria","Total output price index - in national currency","Industry (except construction, sewerage, waste management and remediation activities)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2015=100","99.2",""
"2015M01","Bulgaria","Total output price index - in national currency","MIG - intermediate goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2015=100","99.7",""
"2015M01","Bulgaria","Total output price index - in national currency","MIG - energy","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2015=100","98.6",""
"2015M01","Bulgaria","Total output price index - in national currency","MIG - capital goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2015=100","99.2",""
"2015M01","Bulgaria","Total output price index - in national currency","MIG - durable consumer goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2015=100","99.5",""
"2015M01","Bulgaria","Total output price index - in national currency","MIG - non-durable consumer goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2015=100","99.2",""
"2015M01","Czechia","Total output price index - in national currency","Industry (except construction, sewerage, waste management and remediation activities)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2015=100","100.9",""
"2015M01","Czechia","Total output price index - in national currency","MIG - intermediate goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2015=100","101.5",""
