"TIME","GEO","INDIC_BT","NACE_R2","S_ADJ","UNIT","Value","Flag and Footnotes"
"2015M01","European Union - 27 countries (from 2020)","Total output price index - in national currency","Industry (except construction, sewerage, waste management and remediation activities)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","-0.7",""
"2015M01","European Union - 27 countries (from 2020)","Total output price index - in national currency","MIG - intermediate goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","-0.3",""
"2015M01","European Union - 27 countries (from 2020)","Total output price index - in national currency","MIG - energy","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","-4.3",""
"2015M01","European Union - 27 countries (from 2020)","Total output price index - in national currency","MIG - capital goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","0.7",""
"2015M01","European Union - 27 countries (from 2020)","Total output price index - in national currency","MIG - durable consumer goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","0.3",""
"2015M01","European Union - 27 countries (from 2020)","Total output price index - in national currency","MIG - non-durable consumer goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","0.2",""
"2015M01","Belgium","Total output price index - in national currency","Industry (except construction, sewerage, waste management and remediation activities)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","-2.0","p"
"2015M01","Belgium","Total output price index - in national currency","MIG - intermediate goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","-1.4","p"
"2015M01","Belgium","Total output price index - in national currency","MIG - energy","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","-8.0","p"
"2015M01","Belgium","Total output price index - in national currency","MIG - capital goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","0.5","p"
"2015M01","Belgium","Total output price index - in national currency","MIG - durable consumer goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","0.2","p"
"2015M01","Belgium","Total output price index - in national currency","MIG - non-durable consumer goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","1.9","p"
"2015M01","Bulgaria","Total output price index - in national currency","Industry (except construction, sewerage, waste management and remediation activities)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","-1.3",""
"2015M01","Bulgaria","Total output price index - in national currency","MIG - intermediate goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","-0.7",""
"2015M01","Bulgaria","Total output price index - in national currency","MIG - energy","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","-3.4",""
"2015M01","Bulgaria","Total output price index - in national currency","MIG - capital goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","0.5",""
"2015M01","Bulgaria","Total output price index - in national currency","MIG - durable consumer goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","0.4",""
"2015M01","Bulgaria","Total output price index - in national currency","MIG - non-durable consumer goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","0.1",""
"2015M01","Czechia","Total output price index - in national currency","Industry (except construction, sewerage, waste management and remediation activities)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","-0.4",""
"2015M01","Czechia","Total output price index - in national currency","MIG - intermediate goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","-0.6",""
"2015M01","Czechia","Total output price index - in national currency","MIG - energy","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","-3.8",""
"2015M01","Czechia","Total output price index - in national currency","MIG - capital goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","0.9",""
"2015M01","Czechia","Total output price index - in national currency","MIG - durable consumer goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","0.6",""
"2015M01","Czechia","Total output price index - in national currency","MIG - non-durable consumer goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","0.0",""
"2015M01","Denmark","Total output price index - in national currency","Industry (except construction, sewerage, waste management and remediation activities)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","-0.6",""
"2015M01","Denmark","Total output price index - in national currency","MIG - intermediate goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","0.0",""
"2015M01","Denmark","Total output price index - in national currency","MIG - energy","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","-5.6",""
"2015M01","Denmark","Total output price index - in national currency","MIG - capital goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","0.2",""
"2015M01","Denmark","Total output price index - in national currency","MIG - durable consumer goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","0.3",""
"2015M01","Denmark","Total output price index - in national currency","MIG - non-durable consumer goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","0.9",""
"2015M01","Germany (until 1990 former territory of the FRG)","Total output price index - in national currency","Industry (except construction, sewerage, waste management and remediation activities)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","-0.1",""
"2015M01","Germany (until 1990 former territory of the FRG)","Total output price index - in national currency","MIG - intermediate goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","-0.1",""
"2015M01","Germany (until 1990 former territory of the FRG)","Total output price index - in national currency","MIG - energy","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","-2.3",""
"2015M01","Germany (until 1990 former territory of the FRG)","Total output price index - in national currency","MIG - capital goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","0.7",""
"2015M01","Germany (until 1990 former territory of the FRG)","Total output price index - in national currency","MIG - durable consumer goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","0.5",""
"2015M01","Germany (until 1990 former territory of the FRG)","Total output price index - in national currency","MIG - non-durable consumer goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","0.2",""
"2015M01","Estonia","Total output price index - in national currency","Industry (except construction, sewerage, waste management and remediation activities)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","-0.3",""
"2015M01","Estonia","Total output price index - in national currency","MIG - intermediate goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","0.7",""
"2015M01","Estonia","Total output price index - in national currency","MIG - energy","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","-2.6",""
"2015M01","Estonia","Total output price index - in national currency","MIG - capital goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","0.0",""
"2015M01","Estonia","Total output price index - in national currency","MIG - durable consumer goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","-0.3",""
